000030.040, 97
000030.045, 83
000030.115, 83
000030.125, 77
000030.135, 61
000030.170, 95
000030.185, 103
000030.235, 145
000030.325, 119
000030.395, 119
000030.450, 100
000030.530, 94
000030.550, 127
000030.655, 115
000030.665, 113
000030.685, 95
000030.760, 86
000030.770, 112
000030.835, 81
000030.840, 129
000030.910, 123
000031.030, 83
000031.105, 140
000031.115, 94
000031.145, 88
000031.205, 91
000031.220, 90
000031.285, 90
000031.375, 111
000031.425, 78
000031.430, 115
000031.505, 148
000031.535, 115
000031.665, 90
000031.805, 122
000032.240, 112
000032.250, 114
000032.255, 77
000032.525, 88
000032.540, 72
000032.630, 71
000033.445, 84
000034.265, 85
000034.625, 120
000035.525, 108
000037.780, 116
000040.425, 100
000040.940, 104
000041.995, 111
000048.405, 86
000052.585, 102
000060.165, 88
000060.240, 118
000060.365, 114
000060.530, 121
000060.610, 112
000060.720, 108
000060.870, 107
000060.940, 121
000060.995, 140
000061.000, 116
000061.120, 136
000061.185, 137
000061.190, 143
000061.210, 135
000061.325, 113
000061.410, 111
000061.505, 105
000061.575, 112
000061.745, 113
000061.765, 123
000062.000, 116
000062.050, 98
000062.125, 96
000062.330, 124
000063.240, 140
000063.245, 116
000063.280, 148
000063.300, 153
000063.415, 114
000064.130, 140
000065.035, 118
000065.355, 100
000065.530, 90
000065.575, 89
000065.580, 88
000065.770, 99
000066.990, 92
000067.920, 125
000069.355, 105
000069.530, 102
000069.550, 100
000070.295, 109
000070.495, 114
000070.655, 117
000073.975, 107
000075.155, 102
000081.900, 98
000084.145, 85
000088.855, 84
000090.085, 57
000090.095, 61
000090.245, 90
000090.325, 113
000090.360, 110
000090.425, 88
000090.475, 121
000090.505, 102
000090.560, 118
000090.720, 108
000090.735, 136
000090.980, 112
000091.045, 137
000091.105, 113
000091.300, 123
000091.540, 121
000091.620, 124
000091.810, 146
000091.845, 121
000092.000, 135
000092.120, 126
000092.195, 118
000092.380, 103
000092.390, 113
000092.405, 96
000092.540, 124
000092.580, 123
000092.935, 121
000092.965, 132
000093.520, 127
000094.170, 123
000094.200, 108
000094.505, 129
000094.670, 107
000094.715, 89
000094.790, 88
000095.380, 88
000095.615, 118
000096.145, 136
000096.320, 81
000096.600, 89
000097.165, 130
000097.780, 142
000098.600, 89
000099.080, 136
000100.815, 113
000104.215, 112
000107.665, 91
000108.430, 101
000109.255, 85
000115.485, 98
000119.705, 100
000120.130, 119
000120.225, 132
000120.260, 109
000120.290, 91
000120.485, 127
000120.565, 116
000120.610, 108
000120.630, 91
000120.850, 128
000120.890, 108
000121.180, 107
000121.415, 125
000121.545, 113
000121.550, 127
000121.795, 113
000121.890, 127
000122.235, 122
000122.260, 127
000122.360, 135
000122.375, 116
000122.595, 138
000122.990, 125
000123.010, 118
000123.090, 108
000123.150, 105
000123.245, 145
000123.380, 112
000124.080, 118
000124.355, 102
000124.570, 142
000124.805, 140
000125.185, 138
000125.665, 112
000125.850, 120
000126.120, 108
000126.265, 137
000126.415, 109
000126.455, 82
000127.010, 105
000127.095, 79
000128.990, 117
000129.965, 80
000130.095, 116
000130.980, 125
000131.870, 119
000133.635, 108
000134.005, 85
000134.405, 85
000143.455, 100
000149.780, 96
000150.150, 168
000150.205, 110
000150.505, 137
000150.520, 127
000150.775, 129
000150.830, 141
000150.855, 104
000150.940, 149
000151.090, 134
000151.155, 142
000151.405, 131
000151.600, 122
000151.665, 135
000151.735, 135
000152.160, 124
000152.210, 120
000152.690, 127
000152.785, 125
000152.860, 121
000153.950, 121
000154.030, 130
000154.045, 119
000154.125, 108
000154.350, 106
000154.475, 131
000154.755, 120
000154.945, 101
000155.230, 87
000155.235, 103
000155.410, 120
000155.820, 121
000155.850, 126
000156.360, 122
000157.055, 106
000157.780, 110
000158.110, 99
000158.630, 116
000158.665, 113
000159.790, 106
000161.130, 114
000161.830, 91
000162.835, 101
000162.845, 92
000164.450, 98
000165.840, 88
000166.065, 91
000169.475, 84
000169.810, 81
000171.745, 80
000175.750, 102
000176.475, 86
